영화명,리뷰,word
러스트 앤 본,한시도 눈을 뗄수없는 전개가 좋아요,한시 떼다 좋다 
러스트 앤 본,내 삶을 아름답게 비추는 한줄기 빛,아름답다 비추다 줄기 
러스트 앤 본,진정한 현실의 사랑에 대한 담담한 이야기와 배우들의 훌륭한 연기가 먹먹한 감동으로 다가온다,진정하다 현실 사랑 담담하다 훌륭하다 감동 다가오다 
콜렉션,살인을 예술로 승화시킬려는 정신병자 살인마와의 피와 살이 튀는 싸움,살인 예술 승화 정신병 살인마 살이 싸움 
콜렉션,B급으로 가는 스토리지만 임팩트 와 트랩의 스릴 만큼은 인정,스토리 임팩트 트랩 스릴 인정 
콜렉션,나홀로 집에 케빈이 싸이코로 자랐을 때의 위험성,홀로 케빈 싸이코 자르다 위험성 
콜렉션,앙드레로요가 무서운놈이네,무섭다 
콜렉션,잔인하지만 긴장감 있고 잼있음,잔인하다 긴장감 
콜렉션,킬링타임용으로도 부족하군,킬링타임 부족하다 
콜렉션,스케일은 커지고 재미는 반토막,스케일 커지다 재미 반토막 
콜렉션,아 드뎌 후속편이 나오는구나 기대된다,드뎌 후속 기대 
시저는 죽어야 한다,희생에서 비롯된 고해성사,희생 고해성사 
시저는 죽어야 한다,예술을 알고나니 한 단계  성장한  삶,예술 단계 성장하다 
우리에겐 교황이 있다,시간 낭비 영화 정말 시간이 아깝다는 생각이든다,낭비 아깝다 
천하칠검 양가장,중국영화 이렇게 재밌게 본 게 언제지,중국영화 재밌다 
천하칠검 양가장,방금 슈퍼액션에서 봤는데 재미 있네 아들 많이 낳아야겠다,슈퍼 액션 재미 아들 낳다 
천하칠검 양가장,주유민땜에 본건대  대사가 없어서 약간실망,주유민 건대 실망 
천하칠검 양가장,자식농사 참하게 져놨다가 한방에 훅가네,자식 농사 
전국노래자랑,이경규식영화 음 나름 재미 감동 있음 맨마지막  오글오글 개오글 어쨌든 유연석의 새로운 발견이네용,이경규 재미 감동 마지막 유연석 새롭다 발견 
전국노래자랑,가슴찡하지만 너무나따뜻한영화,찡하다 따뜻하다 
전국노래자랑,중구난방의 진수를 보여준 영화,중구 난방 진수 
폭풍우 치는 밤에: 비밀 친구,이 만화속 이야기가 주군의태양 속 동화,만화 동화 
아이언맨 3,자유분방한 개인주의자 토니스타크가 뉴욕사건 이후로 180도 바뀜,자유분방하다 개인주의자 토니스타크 뉴욕 사건 바뀌다 
아이언맨 3,그가 날아 오를 때의 벅찬 감정,벅차다 감정 
아이언맨 3,이거보다 더 화끈한 영화는 없을걸,화끈하다 
아이언맨 3,나한테 있어서 최고의 히어로인 영화 1부터 잘봤어요,최고 히어로 
아이언맨 3,수트에 대한 인식을 바꾸게 되는 영화,수트 인식 
아이언맨 3,남는거 없음 때리고 부수고 끝,때리다 
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,솔직히 말하는데 재미없다,솔직하다 재미없다 
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,건대입구 롯대시네마 갔더니 영화관이 좁고 아담해여 그리고 짱구아빠 스트라이크 진짜 웃김,건대 입구 시네마 좁다 아담하다 짱구 아빠 스트라이크 웃기다 
짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스,이런걸 돈주고 보는게 더 이상하다,이상하다 
피노키오: 당나귀 섬의 비밀,미국적이지 않은 영화로 아동들에게 좋은 영화다,미국 아동 좋다 
피노키오: 당나귀 섬의 비밀,완전 재밌어요 아이들과 집중해서 봤네요,재밌다 집중 
에반게리온: Q,장난하냐 파끝나고 큐를 얼마나 기다렸는데 신지는 게이로 만들고 내용은 이게뭐냐,장난 끝나다 기다리다 게이 게뭐 
에반게리온: Q,생각만큼 재미있지는 않다,재미있다 
새 구두를 사야해,보는 내내 미소를 감출수없었다,미소 감추다 
새 구두를 사야해,제목의 기대에 못미치는 영화,기대 미치다 
새 구두를 사야해,새 사람 새 구두 새 인생이 필요해,구두 인생 필요하다 
새 구두를 사야해,잔잔한듯 괜찮았어요 특별한 로맨스나 특별한 스토리는 없었지만,잔잔하다 괜찮다 특별하다 로맨스 특별하다 스토리 
파리 5구의 여인,자아를 해체하고 난 후 비로소 고단한 창작의 여정은 삶이 된다,자아 해체 고단 창작 여정 
송 포 유,보는 내내 눈물펑펑눈도 마음도 뜨거워졌어요 여운이 길게 남는 영화열심히 일하고 열심히 사랑해야겠다 느끼게 해주는 고마운영화,눈물 펑펑 마음 뜨겁다 여운 길다 사랑 느끼다 고맙다 
송 포 유,노래를 통한 사랑과 소통 그리고 화해와 용서,노래 사랑 소통 화해 용서 
송 포 유,목청 높여도 닿지않는 고해성사,목청 높이다 닿다 고해성사 
송 포 유,가정의  의미와  존재가  점점  상실해가는 요즘에 메세지를 주는  참  좋은  영화이네요,가정 존재 상실하다 메세지 좋다 화이 
송 포 유,눈물이 멈추질 않았네요정말 먹먹한 영화,눈물 멈추다 
송 포 유,너무도 잔잔하게 억지 웃음도 억지 눈물도 없는 영화,잔잔하다 억지 웃음 억지 눈물 
송 포 유,가슴이 따뜻해지는 좋은 영화,따뜻하다 좋다 
로마 위드 러브,반 정도 지나니 그 수다를 들어주기에도 지쳐간다,지나다 수다 들어주다 지치다 
로마 위드 러브,가볍게 유쾌하게 좋았어용 엄청 웃었네용,가볍다 유쾌하다 좋다 웃다 
로마 위드 러브,기대와는 다르게 막장전개였음,기대 다르다 막장 
로마 위드 러브,미드나잇 인 파리가 19세기 밤이라면 로마위드러브는 현대의 낮과같다 멋진 로마와 대비되는 현대인의  군상을 경쾌하게 버무렸다,미드나잇 파리 라면 로마 위드 러브 현대 멋지다 로마 현대인 군상 경쾌하다 무리다 
로마 위드 러브,정신없이 이쪽저쪽 이야기들을 보여줘서 지루할 틈이 없었다재밌게 잘봤다,지루하다 재밌다 
로마 위드 러브,가볍게 웃으며 보다보면 몸이 따뜻해진다,가볍다 웃다 따뜻하다 
로마 위드 러브,이천년대 대중문화와 욕망에 대한 가장 유쾌한 돌직구,천년 대중문화 욕망 유쾌하다 돌직구 
로마 위드 러브,우디 알렌식 기묘한 이야기,우디 알렌 기묘하다 
로마 위드 러브,영화 보고 나니 로마에 여행가고 싶다,로마 여행가 
로마 위드 러브,27년 전 접했던 알렌의 영화 중에서 이토록 구토와 두통 그리고 메스꺼움을 유발한 영화가 있던가,알렌 구토 두통 메스꺼움 유발 
로마 위드 러브,말이 되는 소리를 해야지,소리 
로마 위드 러브,위대한 주연 Rome와 산만한 조연들의 어우러짐,위대하다 산만하다 어우러지다 
로마 위드 러브,오랜만에 즐거운 시간이었음,즐겁다 
노리개,재상영해야 되는거 아닌가,재상 영해 
노리개,기주봉 진짜 얄밉게 연기 잘하네,기주봉 얄밉다 
노리개,좀 부족하지만 의미있는 영화,부족하다 
노리개,영화 자체의 연출력은 형편없으나 사회부조리를 꼬집었다는 자체만으로도 큰 성과다,형편 사회 부조리 꼬집다 성과 
노리개,아무리 그럴듯하게 꾸며놓아도 재미없는건 재미없을뿐,그럴듯하다 꾸미다 재미없다 재미없다 
뷰티풀 크리처스,기승전해피엔딩 자기희생 아름다운결말,기승 해피엔딩 희생 아름답다 결말 
뷰티풀 크리처스,트와일라잇 같은스타일 끝이아쉬움,트와일라잇 스타일 아쉬움 
뷰티풀 크리처스,별 매력없는 뻔한 하이틴 영화,매력 뻔하다 하이 
뷰티풀 크리처스,이것두 비행기에서 봤는뎅 나님 마녀좋아할 나이는 좀 지난듯,비행기 마녀 좋아하다 나이 지나다 
뷰티풀 크리처스,신인 연기자와 풋풋함을 느낄 수 있었던 영화 였네요,신인 연기자 풋풋하다 느끼다 
뷰티풀 크리처스,동화도 사랑스럽고 단순한 이야기 지만 감흥이 없는 듯 스크린도 다를게없는,동화 사랑스럽다 단순하다 스크린 다르다 
뷰티풀 크리처스,124분이라는 시간이 길지도 짧지도 않은 시간인데 지루할 틈이 없었어요,짧다 지루하다 
뷰티풀 크리처스,새로운 판타지장르를 개척한 영화라 그런지 신기하면서 저는 해리포터보다도 더 재미있었어요,새롭다 판타지 개척 신기하다 해리포터 재미있다 
뷰티풀 크리처스,비올라데이비스에대해 관심이 없는 편이었는데 이번 영화 통해서 관심 제대로 생긴듯,비올라 데이비스 펴다 생기다 
테이크다운,제작하다 돈 모잘라서  대충마무리 한 느낌실망,자르다 대충 실망 
테이크다운,킬링타임용으로도 부족하군,킬링타임 부족하다 
테이크다운,오랜만에 돈주고 아까운 영화였음,아깝다 
테이크다운,전체적인 내용은 좋았으나 어디선가 다 본장면같 결말이 예상되서 약간 실망했어요,좋다 결말 예상 실망하다 
공정사회,전개가 자꾸 과거 현재 왔다가서 집중이 안됨,과거 현재 다가서다 집중 안되다 
공정사회,친절한 엄마씨의 풍진 세상 공부,친절하다 엄마 풍진 세상 공부 
공정사회,감독의 수준이 너무 낮다,낮다 
공정사회,시사성을 너무 답답하게 풀어서 짜증나는 퀄러티떨어지는 영화,답답하다 풀다 짜증나다 퀄러티 떨어지다 
공정사회,썩은것들 부패한것들 곰팡이들 바퀴벌레들아 나가죽어라,썩다 부패하다 곰팡이 바퀴벌레 죽다 
공정사회,영화 좋네요 나에게스토킹한 최종재 폭력고의로쓰게한 예명수 경찰 멍청한 법관 채정선 에게 저주를,좋다 스토킹 최종 폭력 쓰다 명수 경찰 멍청하다 법관 저주 
공정사회,심부름센터보다 아줌마보다 못한 개한민국 헬조선의 공권력,심부름 센터 아줌마 헬조선 공권력 
공정사회,영화가 시사하는건 알겠으나 너무 극명한 선악의 설정이 거부감을 준다,극명하다 선악 거부 
공정사회,정말잔인하리만큼현실을보여준영화부정부패 척결  찬성,잔인하다 현실 부정부패 척결 찬성 
공정사회,크게 개봉했음 큰 방향 일으켰을 영화같네요 편집특이함,방향 일으키다 특이하다 
공정사회,돌머리 아줌마의 억지 분노유발,아줌마 억지 분노 유발 
공정사회,내 딸이 당했다면 범인새퀴 산체로 사지 잘라버리고 믹서기에 돌려버린다 쓰글,당하다 범인 산체 사지 자르다 버리다 믹서기 버리다 쓰다 
공정사회,사회의 안타까운 단면을 보여주는 가슴아픈영화네,사회 안타깝다 단면 아프다 
테이크 쉘터,가늠하기 힘든 암울한 불안의 깊이,암울하다 불안 깊이 
테이크 쉘터,꿈이 맞든 안 맞든 암울하긴 매 한가지,암울하다 한가지 
테이크 쉘터,위기와 재난은 어김없이 반복된다 준비하라,위기 재난 준비 하라 
테이크 쉘터,어쨌든 인생 쫑 난거지 머,인생 난거지 
테이크 쉘터,관객들에게 고스란히 전해지는 불안감,전해지다 불안감 
테이크 쉘터,지루한듯하지만 끊어지지 않는 긴장감이 있고 결말이 이채롭다,지루하다 끊어지다 긴장감 결말 이채 롭다 
테이크 쉘터,관객들의 혼란과 불안감을 연주하다,혼란 불안감 연주 
테이크 쉘터,주인공의 불안감이 관객에게도 그대로 전달이 된다,불안감 전달 
테이크 쉘터,인간들이 왜 죽나 에 관한 이야기,인간 
테이크 쉘터,초반의 지루함을 견딜 가치가 있군,지루함 견디다 가치 
태아 3D,경이로운 생명의 시작 그리고 탄생,경이 생명 시작 탄생 
오블리비언,탐 혼자 다해먹는 영화 네,다해 
오블리비언,깔끔한 미장센과 SF의 결합,깔끔하다 미장센 결합 
오블리비언,영화자체는 졸릴만큼 엄청 지루하고 내용도 엄청 단순한 스토리라고 생각하는 1인,졸리다 지루하다 단순하다 스토리 
오블리비언,내용도 참신하고 좋지만 무엇보다 사운드 트랙이 걸작인 영화,참신하다 좋다 걸작 
오블리비언,호기심을 자극하며 흥미롭게 전개,호기심 자극 흥미롭다 
오블리비언,인류의 미래라고 생각하면 소름끼치는 영화,인류 미래 소름끼치다 
오블리비언,영상미가  아주  뛰어나고  반전과  액션등이  조화 있게  구성되어  간만에  재미있는  영화를  봤습니다,미가 뛰어나다 반전 액션 재미있다 
월플라워,고민많은 청춘들의 집중과 선택,고민 청춘 집중 선택 
월플라워,힘들때 찾아보게 만드는  인생영화,힘들다 찾아보다 인생 
월플라워,가벼울줄 알고 봤는데 그렇지 않았다,가볍다 
월플라워,주인공 맘에들고 스토리도 굿,스토리 
월플라워,호밀밭의 파수꾼을 소환하다,호밀 파수 
월플라워,방황하는 청춘들의 멜로디,방황 청춘 멜로디 
월플라워,공감하기엔 난 너무 늙었다,공감 늙다 
월플라워,자신을 포함하는 사랑을 하게 된 찰리가 좋아서,사랑 찰리 좋다 
월플라워,감동적이다소재를 다루는 작가와 감독 배우의 연기가 빛나는 영화,감동 다루다 작가 빛나다 
월플라워,언제 봐도 재밌는 찌질한 학창시절,재밌다 찌질하다 학창시절 
월플라워,좋은영화 생생하게 살아있다는 것,좋다 생생하다 
전설의 주먹,정말 이요원 연기 도저히 못봐주겠다,이요원 
전설의 주먹,친하게 옛날부터 사귄사람,옛날 사귀다 
전설의 주먹,이요원 한대 치고싶은 영화,이요원 
전설의 주먹,제 인생영화가 한개더 나오는 군요,인생 
전설의 주먹,원작 웹툰작가가 욕하겠어요,웹툰작가 
런닝맨,그래 확실히 씻을 수 없는 죄를 범한 것 같다,확실하다 씻다 범한 
런닝맨,마지막에끝까지안나와서좀궁금했다그래도재미있었다,마지막 궁금하다 재미있다 
호프 스프링즈,메릴스트립의 연기는 영화를 빛나게 한다,메릴 스트립 빛나다 
호프 스프링즈,메릴 스트립의 낸시 레이건 코스프레,메릴 스트립 낸시 코스프레 
호프 스프링즈,그럭저럭 킬링타임용에 그치는군,킬링타임 그치다 
호프 스프링즈,뭔가 획기적인 재미는 없지만 나도 이런 식으로 나이가 들고 싶다는 생각이 들게 해주는 영화,획기 재미 나이 
호프 스프링즈,당신이 옆구리 찌르지 않아도 표현하며 살겠다,옆구리 찌르다 
호프 스프링즈,배우의 연기가 중후하고 잘 어울릴 뿐 아니라 중년 이상의 연령대의 부부에게 리얼한 내용이라 공감이 큰 영화,어울리다 중년 연령 대의 부부 리얼 공감 
호프 스프링즈,노인들위한 성욕 오르가즘 오널 다시 느끼게 도움주는영화,노인 성욕 오르가즘 느끼다 도움 
호프 스프링즈,성인전용 부부클리닉 힐링버젼,성인 전용 부부 클리 힐링 버젼 
호스트,몽환적인 영화  전좋았어요,몽환 좋다 
호스트,어설픈 설정과 구린 연출 유치발랄,어설프다 구리다 유치 발랄 
호스트,발상의  전환나름 잼나네,발상 
호스트,SF의 대가가 로맨스를 건드렸을 때 생기는 부작용,로맨스 건드리다 생기다 부작용 
호스트,중간은 지루했지만 볼만했음,지루하다 
호스트,고등학생용 원작으로 중학생용 영화를 만들었다,고등 학생용 중학생 
호스트,킬링타임용으로도 부족하군,킬링타임 부족하다 
호스트,배경은 충실하게 살렸지만 스토리의 흥미진진함이 좀 덜한거 같아 아쉬웠습니다,충실하다 살리다 스토리 흥미진진 덜하다 아쉽다 
호스트,매력적인 주인공과 스토리,매력 스토리 
호스트,주인공의 마음에 빠져들어서 봐서 재미있게 봤어요,마음 빠져들다 재미있다 
호스트,신선하다 sf를 기대한 사람들은 보지마시길,신선하다 기대하다 
호스트,영상미하고 스토리 굉장히 잘 짜여져 있네요,스토리 굉장하다 
호스트,소재도 좋고 따뜻한영화네요,좋다 따뜻하다 
끝과 시작,담주 18에 볼 내 인생영화,담다 인생 
홀리 모터스,잠들어버린 관객들을 향한 끝없는 각성 릴레이,잠들다 버리다 끝없다 각성 릴레이 
홀리 모터스,예술좋아허네이게예술이면내하루일상은 버라이어티스펙타클대사시다이따위걸왜찍었지,예술 좋다 예술 하루 일상 버라이어티 스펙 사시 걸왜 
홀리 모터스,장면마다 너무 이상해서 보는내내 눈을못땜,이상하다 
홀리 모터스,영화로서 영화를 뛰어넘는 레오스 카락스의 돌아온 천재성,뛰어넘다 레오 락스 돌아오다 천재 
홀리 모터스,쉽지 않아도 보다보면 빠져드는 이상한 영화,빠져들다 이상하다 
홀리 모터스,고양이처럼 9번을 산다지만 어떤 삶을 살아도 고달프긴 매한가지,고양이 산다 고달프다 한가지 
홀리 모터스,무슨 내용인지 모르겠다 정말 난해한 영화,난해하다 
브로큰 시티,다운로드 가격이 10000원씩이나 하는 게 이해할 수 없다,다운로드 가격 
브로큰 시티,그럭저럭 킬링타임용에 그치는군,킬링타임 그치다 
브로큰 시티,흔하디 흔한 미국영화중 하나같다,흔하다 미국영화 하나같다 
킬링 소프틀리,안궁금한 이야기들이 너무 길게 풀어내는 것도 능력인듯 대놓고 오바마가 나오는것도 그닥,궁금하다 길다 풀다 능력 오바마 그닥 
킬링 소프틀리,총쏘는 장면이 너무 인상 깊었어요 총쏘는 장면이 기억에 오래 남네요,쏘다 깊다 쏘다 기억 
킬링 소프틀리,총 액션도없다 그래서 1점,액션 
킬링 소프틀리,액션은 기대하지 말길후훗,액션 기대하다 말길후훗 
킬링 소프틀리,스타일에 비중을 두다가 여러 가지를 놓쳐버린 아쉬운 작품,스타일 비중 놓치다 버리다 아쉽다 
비념,사건다큐인지 풍경다큐인지,사건 다큐 풍경 다큐 
비념,사람이 사람다워야 사람인 영화,람다 
비념,아름다운 제주의 자연과 굿장단 그리고 제주의 아픔이 은은하게 녹은 작품,아름답다 제주 자연 장단 제주 아픔 은은하다 녹다 
지.아이.조 2,더락만 나오면 B급 무비가 되네,더락 
지.아이.조 2,봤는데 하나도 기억이 안나,기억 
지.아이.조 2,이 시리즈는 그만 만들길,시리즈 
지.아이.조 2,역시 뭐가 이상하고 난잡하던데,이상하다 난잡하다 
지.아이.조 2,악역 스톰 섀도우는 계속 악역이어야만 했다,악역 스톰 섀도우 악역 
지.아이.조 2,화려한 캐스팅 남들 다 하는 액션,화려하다 캐스팅 액션 
지.아이.조 2,난잡하게 많이 나오지만 별로,난잡하다 별로 
지.아이.조 2,채닝 테이텀이 쉽게 죽어버릴때 알아봤다,채닝 테이텀 죽다 버리다 알아보다 
지.아이.조 2,브루스윌리스 뜬금포 1편만 못하다,윌리스 뜬금 
지.아이.조 2,1편보다 더 매끄럽고 이상한것들 범벅이 안나와서 좋았어요,매끄럽다 이상하다 범벅 좋다 
웃는 남자,뮤지컬같은여운이 남는 영화,뮤지컬 여운 
웃는 남자,포스터 볼때마다 장근석 생각나,포스터 장근석 생각나다 
웃는 남자,현실비판 생각보다 재미있는 그런영화,현실 비판 재미있다 
웃는 남자,그웬플렌은 진짜 애환이 가득한 캐릭터였다,애환 가득하다 
웃는 남자,잘 가다 이상한 길로 빠지고 급하게 마무리한 허무한 영화,이상하다 빠지다 급하다 허무하다 
웃는 남자,소설에 대한 잘못된 해석,해석 
웃는 남자,프랑스적 분위기와 문학 소설적인 분위기가 오묘하게 접합되면서 느낌 또한 좋더군요,프랑스 분위기 문학 분위기 오묘하다 접합 좋다 
웃는 남자,웃는남자 보고 나서 마음이 참 싱숭생숭 했어요 개인적으로는 많은 의미를 담고 있어 한번씩은 보라고 말하고 싶은 영화였습니다,마음 싱숭생숭 개인 담다 
웃는 남자,확실히 소설보다 영화로 재탄생하면 소설에서 담아내지 못한 뭔가를 더 확실하게 보여주는 것 같기도 해요,확실하다 재탄생 담다 확실하다 
웃는 남자,사실 포스터 봤을 때 공포영화인줄 알고 안볼라 했는데 안봤으면 후회할뻔했어요,포스터 공포영화 후회 뻔하다 
웃는 남자,중세시대 때의 배경을 잘 알 수 있었던 영화였고 신기하고 궁금증이 풀리는 이야기였다 특히 실화를 바탕으로 해서그런지 리얼했다,중세시대 신기하다 궁금증 풀리다 실화 리얼 
웃는 남자,그저 보여지는 외모에만 관심을 갖던 세태를 꼬집는 사회적 영화,외모 세태 꼬집다 사회 
웃는 남자,그 시대적 이야기가 너무 재밌는 영화였어요,시대 재밌다 
웃는 남자,일단 조커라는 인물의 모티브가 되었다는 것만으로도 화제가 되고 있는 영화,조커 모티브 화제 
웃는 남자,빅토르 위고의 원작 소설을 영화화 한거더라구요 소설을 읽고 싶어지는 영화였어요,빅토르 위고 
웃는 남자,찢어진 입으로 이목을 끌고 연극을 하며 돈을 버는 그윈플렌의 모습은 그의 슬픈 운명을 말하고 있었다,찢어지다 이목 연극 슬프다 운명 
웃는 남자,기대만큼 재밌었다 같이간 친구는 사전지식이 없었는데도 좋았다고 하더라,기대 재밌다 이간 친구 지식 좋다 
웃는 남자,중세시대 의상과 소품까지 디테일하게 표현해서 시대극 좋아하는 저한테 볼거리 가득했던 영화랍니다,중세시대 의상 소품 시대극 좋아하다 볼거리 가득하다 
웃는 남자,결말이 좀 슬프긴 했지만 그윈플렌이 너무 사랑스러운 캐릭터 였던 듯,결말 슬프다 사랑스럽다 
웃는 남자,프랑스에서는 이 영화가 레미제라블보다도 더 흥행했고 작품성도 인정받은 영화라고 해서 보고왔는데 그럴만하네요,프랑스 레미제라블 흥행 성도 인정받다 보고오다 
웃는 남자,이런 미스터리 영화를 좋아하신다면 괜찮게 보실 것 같네요,미스터리 좋아하다 괜찮다 
웃는 남자,배우들의 연기력이 정말 상당하더군요 배경도 너무 멋있었구요,상당하다 멋있다 
웃는 남자,아이들과 보기에도 좋은 영화같아요 작품성부터 시작해서 이것저것,좋다 시작 
웃는 남자,안나카레니나 보고 독특한 연출이 강해서 이거보니 밋밋해보엿고 중간부터 지루해지고 마지막에 뭥미싶엇음 전반적으로 좀 아쉬웟음,카레 니나 독특하다 강하다 밋밋하다 지루하다 마지막 아쉽다 
피치 퍼펙트,초반의 긴장감은 온데간데 없고 그냥 노래 몇곡으로 시간을 채우는 뻔한 영화,긴장감 노래 채우다 뻔하다 
피치 퍼펙트,전편의 재미를 살리지 못한채 소란스럽기만 하군,전편 재미 살리다 소란 
피치 퍼펙트,전편보다는 약하지만 그런대로 볼만하네,전편 약하다 
피치 퍼펙트,라스트가 예술 쿠키까지 덤,라스트 예술 쿠키 
콰르텟,부모님과 함께 보면 좋을 영화,부모님 좋다 
모래가 흐르는 강,이렇게 해놓구 편히 살수있는 인간들은 인간이 아닙니다 인간의 탈을 쓴 악마입니다,편하다 살수 인간 인간 인간 악마 
모래가 흐르는 강,물이흐르고모래도흘러야살아 있는강,흐르다 모래 흐르다 
초한지: 영웅의 부활,초한지를 다시 읽고싶게 만드는 영화,초한지 
초한지: 영웅의 부활,천하를 얻기 위한 고도의 심리전,천하 심리전 
초한지: 영웅의 부활,하나의 역사적 컨텐츠를 파고 또 파면 어디까지 갈 수 있는지 보여주는 영화,역사 컨텐츠 파고 파면 
초한지: 영웅의 부활,섬뜩한 단면을 모아 확실하게 보여줬다,섬뜩하다 단면 모으다 확실하다 
초한지: 영웅의 부활,솔직히 시간과 돈이 아까운 영화,솔직하다 아깝다 
초한지: 영웅의 부활,적극 추천할만한 좋은 영화,추천 좋다 
초한지: 영웅의 부활,초한지 천하대전이 액션영화면 영웅의 부활은 정치영화 그리고 유방에 대한 이야기,초한지 천하 액션영화 영웅 부활 정치 유방 
초한지: 영웅의 부활,권력의 야망 그리고 허무함,권력 야망 허무하다 
초한지: 영웅의 부활,영상은 좋았다 말할 수 있지만 내용은 지루하다는 것 10분짜리 영화를 1시간반정도로 만든 느낌,좋다 지루하다 
초한지: 영웅의 부활,알바천국도 아니고 댓글이 사실과 다르네 전쟁씬은 없고  인물묘사에 집중한  영화 스펙타클한 전쟁영화가아니라서 지루한면도 있다,천국 다르다 전쟁씬 묘사 집중 스펙 전쟁영화 지루하다 
유다의 사자 : 부활절 대모험,메세지도 있고 그림도 예쁘고 재미있게 봤어요,메세지 그림 예쁘다 재미있다 
유다의 사자 : 부활절 대모험,예상한것보단 성우 괜찮았음,예상 괜찮다 
후세: 말하지 못한 내 사랑,역시 기대 안하고 보길 잘했어,기대 
후세: 말하지 못한 내 사랑,그림이 너무 이쁘고 아름답고 아쉬운 사랑 얘기네요,그림 이쁘다 아름답다 아쉽다 사랑 
섀도우 댄서,어머니기에 감내하고 감수한 비극의 고통,어머니 감수 비극 고통 
연애의 온도,안면거상술하고 본영화  기대보다 별로 김민희는 홍상수랑 사귄거보면 이런연애담하고 거리가 먼데,상술 기대 별로 김민희 홍상수 사귀다 연애담 
연애의 온도,현실적이라 소름돋는 연애체험,현실 소름 연애 체험 
연애의 온도,진짜 아련 아련 아련 아련 아련 몽글 몽글 몽글 몽글 몽글 나랑 너 같애,아련 아련 아련 아련 아련 
연애의 온도,찌질이 이민기 캐릭터의 분노조절장애 이야기,이민기 분노조절 장애 
연애의 온도,반복하기 싫은 실수를 하게 되는 연애의 미스터리,싫다 실수 연애 미스터리 
연애의 온도,여자친구랑 보면 술한잔하러가게되는 영화,여자친구 한잔 
장고:분노의 추적자,인종문제를 총과 대화로 풀어가는 탁월함,인종 문제 대화 풀다 탁월하다 
장고:분노의 추적자,내물건은 색깔부터 다르다,물건 색깔 다르다 
장고:분노의 추적자,졸 재밌다 다함께 팡팡팡,재밌다 
장고:분노의 추적자,문재인에게 현상금을 걸자,현상금 
장고:분노의 추적자,쿠엔틴 타란티노란 브랜드,타란티노 브랜드 
장고:분노의 추적자,타란티노 열손가락안에 드는 수작,타란티노 손가락 수작 
장고:분노의 추적자,착착 붙는 타란티노 손맛,착착 타란티노 손맛 
장고:분노의 추적자,간만에 재미있게 봤습니다,재미있다 
지슬 - 끝나지 않은 세월2,줄거리가 좀 난해하긴 했으나 배우들 연기가 돋보이고 아픈 역사를 상기시켜주었음,난해하다 돋보이다 아프다 역사 상기 
지슬 - 끝나지 않은 세월2,아득하게 눈먼 민족사의 아픔,아득하다 민족사 아픔 
지슬 - 끝나지 않은 세월2,근현대에 일어난 비극적인 역사,현대 일어나다 비극 역사 
지슬 - 끝나지 않은 세월2,무섭고 눈물 나네요 다시는 이런 비극이 되풀이되지 않기를,무섭다 눈물 다시다 비극 되풀이 
지슬 - 끝나지 않은 세월2,이런영화를 보는 것만으로도 엄청난 감사다,엄청나다 감사 
지슬 - 끝나지 않은 세월2,꼭 봐야하는 영화인것같네요,야하다 
지슬 - 끝나지 않은 세월2,꼭 알아야하고 꼭 봐야하는 영화입니다,야하다 
지슬 - 끝나지 않은 세월2,왜 똥파리보다 더 많은 관객이 봤는지 이해가 간다,똥파리 
원피스 극장판 Z,재밌다 오바 어떻게든 어떤방식으로든 보고 평을 주라,재밌다 
원피스 극장판 Z,재미있다 스토리가 잘 만들었다  폭력적이긴 하지만,재미있다 스토리 폭력 이기다 
원피스 극장판 Z,진짜 재밌겠다 언제나올라나,재밌다 
드림팀,유쾌하고 정렬적인 스포츠 영화 잘봤습니다,유쾌하다 정렬 스포츠 
드림팀,주성치의 소림축구의 재미에 감동을 더하다,주성치 소림축구 재미 감동 더하다 
바바라,모욕적 삶보다 중요한 교환,모욕 중요하다 교환 
마스터 클래스의 산책,각각의 스토리가 흥미롭군,스토리 흥미롭다 
파파로티,정말 감동이였어요 연기들도 잘하시고 ost 도 좋고,감동 좋다 
파파로티,호중이 영화라고해서 봤는데 괜찮네,호중 괜찮다 
파파로티,실화를 바탕으로 한 영화는 감동적일 수 밖에,실화 감동 
파파로티,못해도 500만은 넘을 줄 알았다 뒤늦게 본 영화지만 재미 감동 단단한 스토리 까지 완벽한 드라마,뒤늦다 재미 감동 단단하다 스토리 완벽하다 
파파로티,내가  좋아하는 배우  한석규그가  보고 싶다,좋아하다 한석규 
웜 바디스,색다른 좀비영화 홀트에게 반했어요,색다르다 좀비 홀트 반했어 
웜 바디스,좀비영화 싫어하는데 이건 최고다,좀비 싫어하다 최고다 
웜 바디스,오해와 편견을 극복하고 이해와 공존으로,오해 편견 극복 공존 
웜 바디스,인생영화 지루한부분없이 재밌게봤다 같이 가슴이 뛰었던영화,인생 지루하다 재밌다 뛰다 
웜 바디스,이렇게 귀엽고 사랑스러운 좀비라니,귀엽다 사랑스럽다 좀비 
웜 바디스,여주와 남주가 예쁘고 잘 생겼고 제 역할에 충실했다,주가 예쁘다 생기다 충실하다 
